"codigo_centro_poblado","nombre_municipio","longitud","latitud"
20443000,"MANAURE BALCON DEL CESAR",-73.0283204603,10.3908986424
20517000,"PAILITAS",-73.6258166827,8.95603320557
20550000,"PELAYA",-73.666354865,8.68865096387
20570000,"PUEBLO BELLO",-73.5890106167,10.4150615983
20614000,"RIO DE ORO",-73.3863951998,8.29228738416
20621000,"LA PAZ",-73.1713629126,10.3874895364
20710000,"SAN ALBERTO",-73.394225336,7.76082642
20750000,"SAN DIEGO",-73.1812180784,10.3330328571
20770000,"SAN MARTIN",-73.510975182,7.99989545861
20787000,"TAMALAMEQUE",-73.8121727977,8.86172498622
23001000,"MONTERIA",-75.8755779091,8.7451325909
23068000,"AYAPEL",-75.1462907587,8.31444662901
23079000,"BUENAVISTA",-75.4808987065,8.22116555415
23090000,"CANALETE",-76.2413965182,8.78694452257
23162000,"CERETE",-75.7962165157,8.88861181239
23168000,"CHIMA",-75.6268955144,9.14948045696
23182000,"CHINU",-75.3997196232,9.10529408935
23189000,"CIENAGA DE ORO",-75.6207866383,8.87550224563
23300000,"COTORRA",-75.79914949,9.03708805117
23350000,"LA APARTADA",-75.339016306,8.05245366011
23417000,"LORICA",-75.8159953999,9.24085514265
23419000,"LOS CORDOBAS",-76.3551928772,8.8921689971
23464000,"MOMIL",-75.677960621,9.24071191662
23466000,"MONTELIBANO",-75.4168181275,7.97377724432
23500000,"MONITOS",-76.1293961872,9.24528029275
23555000,"PLANETA RICA",-75.5832429853,8.4082025621
23570000,"PUEBLO NUEVO",-75.5079713776,8.50400329721
23574000,"PUERTO ESCONDIDO",-76.2604110803,9.00537217768
23580000,"PUERTO LIBERTADOR",-75.6717997497,7.88883481477
23586000,"PURISIMA DE LA CONCEPCION",-75.724885256,9.23929907899
23660000,"SAHAGUN",-75.4459203022,8.94312541611
23670000,"SAN ANDRES DE SOTAVENTO",-75.5088938958,9.14516294312
23672000,"SAN ANTERO",-75.7607729685,9.37621734505
23675000,"SAN BERNARDO DEL VIENTO",-75.954743869,9.35230198865
23678000,"SAN CARLOS",-75.698845486,8.7991065915
23682000,"SAN JOSE DE URE",-75.5331329003,7.78718514987
23686000,"SAN PELAYO",-75.835125523,8.95801032102
23807000,"TIERRALTA",-76.0596965873,8.17037868433
23815000,"TUCHIN",-75.5544509193,9.18696587527
23855000,"VALENCIA",-76.1507186857,8.25501658365
25001000,"AGUA DE DIOS",-74.6692177783,4.37531201654
25019000,"ALBAN",-74.4382610949,4.87802212342
25035000,"ANAPOIMA",-74.5285175294,4.56295617479
25040000,"ANOLAIMA",-74.4638420299,4.76169521336
25053000,"ARBELAEZ",-74.4148256203,4.27248167219
25086000,"BELTRAN",-74.7418023007,4.80281145918
25095000,"BITUIMA",-74.5396189325,4.87223433854
25099000,"BOJACA",-74.348491637,4.74175811774
25120000,"CABRERA",-74.4841872343,3.98461913986
25123000,"CACHIPAY",-74.4357071003,4.73095462855
25126000,"CAJICA",-74.0234539659,4.92080905869
25148000,"CAPARRAPI",-74.491119562,5.34794329475
25151000,"CAQUEZA",-73.946474203,4.40410105992
25154000,"CARMEN DE CARUPA",-73.9015737647,5.34911575799
25168000,"CHAGUANI",-74.5934552918,4.9489158269
25175000,"CHIA",-74.0503468211,4.86606542368
25178000,"CHIPAQUE",-74.0448756309,4.44267101655
25181000,"CHOACHI",-73.9228944808,4.52704792092
25183000,"CHOCONTA",-73.6835234355,5.14522389367
25200000,"COGUA",-73.9784966905,5.06184179776
25214000,"COTA",-74.1027264632,4.81298776927
25224000,"CUCUNUBA",-73.7662153323,5.249767987
25245000,"EL COLEGIO",-74.4425516884,4.57945966153
25258000,"EL PENON",-74.2912859352,5.24914117123
25260000,"EL ROSAL",-74.2636673864,4.85221427507
25269000,"FACATATIVA",-74.3502279311,4.81306417837
25279000,"FOMEQUE",-73.8925225919,4.48547434467
25281000,"FOSCA",-73.939020362,4.33909284456
25286000,"FUNZA",-74.2115250018,4.7127630154
25288000,"FUQUENE",-73.7958554311,5.40404076647
25290000,"FUSAGASUGA",-74.3663339328,4.33848085051
25293000,"GACHALA",-73.520161361,4.69357867212
25295000,"GACHANCIPA",-73.8734692187,4.99091817204
25297000,"GACHETA",-73.6370065098,4.81702216214
25299000,"GAMA",-73.6110289432,4.7633382001
